timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670677339758,94,SimpleBlg_02_health_check,200,OK,Thread Group 1-20,text,true,,165,129,17,17,http://localhost:3000/health_check,94,0,0
1670677339547,315,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-7,text,false,Test failed: code expected to contain /200/,985,231,17,17,http://localhost:3000/posts/,315,0,0
1670677339794,74,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-9,text,false,Test failed: code expected to contain /200/,823,212,18,18,http://localhost:3000/posts/:NF,74,0,0
1670677339790,82,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-8,text,false,Test failed: code expected to contain /200/,823,212,17,17,http://localhost:3000/posts/:NF,82,0,0
1670677339765,111,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-1,text,false,Test failed: code expected to contain /200/,823,212,16,16,http://localhost:3000/posts/:NF,111,0,0
1670677339733,153,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-14,text,false,Test failed: code expected to contain /200/,823,211,15,15,http://localhost:3000/posts/:NF,153,0,0
1670677339784,109,SimpleBlg_01_GET,200,OK,Thread Group 1-21,text,true,,190,117,15,15,http://localhost:3000/,109,0,1
1670677339731,165,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-11,text,false,Test failed: code expected to contain /200/,985,231,15,15,http://localhost:3000/posts/,165,0,0
1670677339843,56,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-4,text,false,Test failed: code expected to contain /200/,823,211,15,15,http://localhost:3000/posts/:NF,56,0,0
1670677339727,174,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-10,text,false,Test failed: code expected to contain /200/,985,231,15,15,http://localhost:3000/posts/,174,0,0
1670677339701,204,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-16,text,false,Test failed: code expected to contain /200/,985,231,15,15,http://localhost:3000/posts/,203,0,0
